event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PAK44265,2018-09-18,2018,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Pakistan),,Political militia,Police Forces of Pakistan (2018-2022) Balochistan Levies,,State forces,State forces-Political militia,,586,South Asia,Pakistan,Balochistan,Killa Saifullah,Killa Saifullah,Qila Saifullah,30.6983,68.3547,1,Pakistan Today,National,"On Sep 18, unidentified gunmen on motorcycles attacked Levies personnel in the Main Bazaar of Qila Saifullah town (Balochistan). 2 Levies were killed and another was critically injured.",2,,1650396994
DEU11998,2022-03-25,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),FFF: Fridays for Future; Students (Germany),Protesters,,,,Protesters only,,276,Europe,Germany,Schleswig-Holstein,Pinneberg,,Elmshorn,53.7532,9.6524,1,Norddeutscher Rundfunk,National,"On 25 March 2022, people demonstrated in Elmshorn at the call of FFF to demand immediate climate protection.",0,crowd size=no report,1680633670
NIG27572,2020-08-03,2020,1,Political violence,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),,Identity militia,Civilians (Nigeria),,Civilians,Identity militia-Civilians,Civilian targeting,566,Western Africa,Nigeria,Katsina,Batsari,,Yau-Yau Malamawa,12.9778,7.3163,1,"Risk and Strategic Management, Corporation",Local partner-International,"On 3 August 2020, Katsina gunmen attacked and killed one person in Yau-Yau Malamawa ward (Batsari, Katsina).",1,,1666026859
BFO8394,2022-10-19,2022,1,Strategic developments,Strategic developments,Other,JNIM: Group for Support of Islam and Muslims,,Rebel group,Civilians (Burkina Faso),Labor Group (Burkina Faso),Civilians,Rebel group-Civilians,,854,Western Africa,Burkina Faso,Centre-Nord,Namentenga,Tougouri,Tougouri,13.3164,-0.5225,2,Whatsapp,New media,"Non-violent activity: On 19 October 2022, presumed JNIM militants ran a checkpoint and searched a communal transport bus near Tougouri (Tougouri, Namentenga).",0,,1724113663
MOR11938,2024-09-17,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Morocco),Labor Group (Morocco),Protesters,,,,Protesters only,,504,Northern Africa,Morocco,Oriental,Nador,Bni Ansar,Beni Ansar,35.26,-2.93,1,Nador City,Subnational,"On 17 September 2024, workers at Karama Recyclage company held a protest in front of their factory in Beni Ansar, Bni Ansar (Nador, Oriental) to denounce the closure of the border with the Spanish enclave of Melilla causing the suspension of informal trade activities.",0,crowd size=no report,1727134597
SYR118341,2023-09-29,2023,1,Political violence,Battles,Armed clash,National Police Forces,,Rebel group,Hamza Brigade,Al Qar'an Tribal Militia (Syria),Rebel group,Rebel group-Rebel group,,760,Middle East,Syria,Al Hasakeh,Ras Al Ain,Ras Al Ain,Ras al-Ain,36.8494,40.0747,1,Facebook; SHAAM; SOHR,Other-New media,"On 29 September 2023, clashes took place between National Police Forces and Hamza Brigade members whom are from Al Qar'an tribe in Ras al-Ain town in Al Hasakeh countryside, using RPG and mortar shells as well as heavy machine guns, killing one National Police Forces member, and seriously injuring three others, and the burning of four cars. 1 fatality.",1,,1720478998
PER5103,2022-09-05,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Peru),,Protesters,,,,Protesters only,,604,South America,Peru,La Libertad,Trujillo,Trujillo,Trujillo,-8.116,-79.03,1,Diario Correo (Peru),National,"On 5 September 2022, in Trujillo (La Libertad), dozens of Alto Trujillo residents staged a demonstration in Armas square to reject the leader of the Alliance for Progress (APP) political party after he supported a law that would transform their sector into a district, benefiting himself. The residents carried out a flag washing as part of a demonstration.",0,crowd size=dozens,1663006806
PSE3133,2016-11-10,2016,1,Strategic developments,Strategic developments,Other,Military Forces of Israel (2009-2021),,External/Other forces,Civilians (Palestine),Fishers (Palestine),Civilians,External/Other forces-Civilians,,275,Middle East,Palestine,Gaza Strip,North Gaza,,Coast of North Gaza,31.5839,34.4659,2,Jordan News Agency,International,"Other: Thursday 10th of Nov 2016, Israeli vessels opened fire on a number of Palestinian fishing boats off the coast of the As-Sudaniya area of Bayt Lahya, northern Gaza Strip. These shots are considered to be warning shots to keep Palestinians away, not directly targeted at them. There were no casualties.",0,,1670274991
PSE39623,2023-11-03,2023,1,Political violence,Battles,Armed clash,AAMB: Katibat Tulkarm - Quick Response,,Political militia,Military Forces of Israel (2022-),,External/Other forces,Political militia-External/Other forces,,275,Middle East,Palestine,West Bank,Jenin,,At Taybah,32.5149,35.1857,1,Newpress,National,"On 3 November 2023, Katibat Tulkarm - Quick Response (AAMB) militants opened fire at Israeli forces at At Taybah checkpoint (Jenin, West Bank). No casualties occurred.",0,,1725924071
UKR106410,2023-06-03,2023,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Russia (2000-) Air Force,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Pokrovskyi,Marinska,Marinka,47.9425,37.505,2,Ministry of Defence of Ukraine,Other,"On 3 June 2023, Russian forces engaged in an unsuccessful offensive in the direction of Marinka, Donetsk, carrying out airstrikes and were repelled by Ukrainian forces. Casualties unknown.",0,,1686674857
